Timestamp,Server_ID,CPU_Usage(%),Memory_Usage(%),Disk_IO(MB/s),Network_In(MB/s),Network_Out(MB/s),Unnamed: 7,Latency(ms),Request_Count,Security_Alerts,Anomaly_Score,Alert_Triggered,Mitigation_Suggestion,Resource_Utilization,Anomaly_Type,IP_Address
06:58.7,Server_103,80.90598528,9.278372244,841.989112,421.4411318,488.8557326,,107.5742111,4867,5,0.765700165,1,Restart Service,low,None,143.77.137.255
01:58.7,Server_436,8.444215067,39.22253294,943.2535528,216.1476527,67.7309348,,67.25480596,1863,4,0.295398727,0,Monitor,high,Security Breach,118.240.34.34
56:58.7,Server_861,98.48172427,29.26361183,736.9028171,217.9499333,183.6746453,,32.50751391,6336,2,0.111775083,0,Investigate Security Breach,high,DDoS Attack,99.150.90.184
51:58.7,Server_271,48.21612727,41.29982275,252.4453927,415.0747241,369.4763119,,25.86334399,6953,4,0.473626226,0,Restart Service,low,DDoS Attack,55.222.162.212
46:58.7,Server_107,39.12695836,60.13235202,333.1865713,113.1907123,283.917305,,83.52612311,3466,2,0.845829233,1,Restart Service,high,None,83.142.74.141
41:58.7,Server_72,32.80882159,74.57225744,795.4507154,94.50961315,292.2962441,,84.71138046,3531,1,0.527739507,0,None,medium,CPU Spike,63.99.199.103
36:58.7,Server_701,21.56388723,62.50843872,544.7816098,350.8342686,220.9792984,,138.0869201,9954,1,0.272184177,0,None,medium,CPU Spike,151.246.227.105
31:58.7,Server_21,80.19952135,69.44584371,288.7432146,331.6678262,423.7003734,,36.8401567,7521,0,0.542772741,0,Monitor,high,None,148.207.174.45
26:58.7,Server_615,95.76434565,87.23571646,673.8368228,456.94192,41.59979996,,83.60630177,8925,5,0.755216937,1,Monitor,low,None,30.246.107.57
21:58.7,Server_122,44.29625171,88.01332213,911.2091063,173.784108,122.3236584,,69.91019245,6953,5,0.568250375,0,Restart Service,high,Memory Leak,147.5.81.226
16:58.7,Server_467,95.479966,86.76833809,389.8053658,108.9804775,354.5362468,,101.1908591,3768,3,0.695146761,0,Restart Service,medium,None,231.225.109.92
11:58.7,Server_215,83.26077347,19.55104697,616.4326208,220.126512,411.4730214,,165.3060162,5046,1,0.531049047,0,Increase Resources,medium,DDoS Attack,24.170.95.109
06:58.7,Server_331,50.69985711,28.85156769,602.4255043,198.0572483,485.6234901,,73.90254203,471,1,0.197617424,0,Restart Service,low,DDoS Attack,192.201.38.250
01:58.7,Server_459,69.03248702,52.72090397,170.6259366,469.6664997,155.0884972,,198.7826771,4077,0,0.930505641,1,None,low,None,117.145.69.11
56:58.7,Server_88,46.32349702,39.08023293,135.7327397,459.6271213,117.9621701,,189.810641,5602,2,0.116705443,0,None,high,Memory Leak,255.166.168.214
51:58.7,Server_373,58.07872378,17.50855199,894.9554311,219.7933164,136.6146969,,52.22332221,8379,0,0.010814652,0,Restart Service,low,None,75.196.62.248
46:58.7,Server_100,10.51440202,32.33627229,936.8600469,212.1226259,132.1716012,,107.8532787,4655,5,0.855674987,1,Monitor,high,None,105.242.67.60
41:58.7,Server_872,71.14503015,97.66573236,909.0296987,228.0464661,243.5961908,,183.4015604,8167,5,0.502055537,0,Restart Service,low,None,107.204.180.163
36:58.7,Server_664,10.01834123,37.95804177,426.8220547,368.1387991,149.0279459,,145.7068057,9091,3,0.049998849,0,Increase Resources,medium,Memory Leak,102.16.212.109
31:58.7,Server_131,82.62306996,44.79683649,323.2390871,279.5294447,78.22322683,,175.9635698,7678,0,0.76596777,1,Restart Service,low,DDoS Attack,22.144.93.118
26:58.7,Server_662,83.3699583,5.608135076,945.0636635,151.082945,36.29900299,,161.9168485,9554,3,0.738402681,1,None,medium,None,173.14.25.143
21:58.7,Server_309,27.52234232,73.34441358,888.6622501,386.6775129,135.3562763,,127.8683968,2540,4,0.821968024,1,Investigate Security Breach,high,None,7.157.244.3
16:58.7,Server_770,35.7479642,44.28725623,828.8264737,452.8762168,410.5819054,,134.9776146,6649,3,0.153765667,0,Increase Resources,low,DDoS Attack,228.66.13.93
11:58.7,Server_344,50.72448596,14.79830598,367.4757511,361.7012744,423.820915,,59.01425809,7476,0,0.904045171,1,None,low,DDoS Attack,11.95.2.237
06:58.7,Server_492,61.68297616,97.01289014,656.8054807,105.3796268,299.6112821,,45.35192188,384,5,0.448215255,0,Investigate Security Breach,high,None,151.169.4.231
01:58.7,Server_414,32.29859787,78.8561552,762.899262,397.9690635,203.8997432,,118.5563761,3760,0,0.711583865,1,Monitor,medium,DDoS Attack,5.221.160.138
56:58.7,Server_806,61.28620844,73.9842585,597.3465815,494.5860608,140.5595665,,26.26014324,8177,5,0.418792541,0,None,medium,CPU Spike,4.105.21.142
51:58.7,Server_386,33.28977196,95.99787181,621.9041166,345.7260156,29.32507993,,58.10611188,5454,2,0.486287233,0,Monitor,low,CPU Spike,73.3.57.3
46:58.7,Server_192,10.2716185,43.71060803,768.8533937,129.5042413,495.2852795,,125.574791,868,1,0.634002857,0,Monitor,low,None,111.193.223.150
41:58.7,Server_956,5.240117234,73.26068633,778.4865825,12.71832822,197.0401152,,27.93185764,1021,1,0.255867042,0,Monitor,medium,Memory Leak,145.12.25.171
36:58.7,Server_277,14.6093505,24.58975025,277.9512321,198.8490131,192.7317577,,129.496713,202,4,0.10973834,0,Restart Service,high,DDoS Attack,230.75.116.111
31:58.7,Server_161,80.26381652,71.22645201,421.1409832,240.4225456,204.7446649,,111.3042148,3768,2,0.268110795,0,Investigate Security Breach,low,DDoS Attack,28.178.130.173
26:58.7,Server_460,96.33597468,6.337513758,792.1252006,455.7306884,390.640774,,36.13509167,916,2,0.736989764,1,Investigate Security Breach,medium,CPU Spike,168.229.19.55
21:58.7,Server_314,45.56178893,16.99901114,298.3751324,313.6430728,332.6078271,,104.8246067,5033,4,0.438668462,0,Monitor,low,Security Breach,90.232.250.217
16:58.7,Server_22,53.70497558,45.39959727,919.8142677,147.9936593,472.1912414,,145.5199453,8238,3,0.455918962,0,Increase Resources,high,None,202.156.162.188
11:58.7,Server_253,18.95057606,6.148806007,846.9486112,348.9478809,46.53805833,,118.0285309,6011,2,0.356133076,0,None,low,CPU Spike,133.165.216.222
06:58.7,Server_748,57.3479785,48.88675627,900.6833956,55.17271267,480.8246849,,178.1728077,8419,4,0.365685198,0,Increase Resources,low,CPU Spike,215.9.178.58
01:58.7,Server_857,18.74221569,54.66521616,332.4349229,114.5811919,298.8589456,,190.2577137,2771,0,0.213467795,0,None,low,Security Breach,222.197.255.93
56:58.7,Server_561,63.06536146,64.05262677,149.8611599,374.8004119,465.4224029,,79.11354199,6875,2,0.169916888,0,Investigate Security Breach,high,Memory Leak,74.241.247.80
51:58.7,Server_475,93.65957342,14.53673431,145.5610989,155.6426214,384.3340976,,59.39781546,2382,4,0.114357524,0,Investigate Security Breach,low,DDoS Attack,62.227.50.204
46:58.7,Server_59,23.59136123,22.19613175,578.1121628,25.25932779,493.3003005,,87.07660416,8567,4,0.966501191,1,Investigate Security Breach,high,Security Breach,181.142.204.248
41:58.7,Server_511,77.63355322,63.26192022,340.3109187,253.4163375,114.364804,,97.52440598,6375,2,0.897283335,1,Restart Service,medium,Memory Leak,86.139.32.83
36:58.7,Server_682,7.232730168,67.52783268,300.3455993,332.4445172,265.1303188,,45.37432223,1327,1,0.148605617,0,Investigate Security Breach,low,DDoS Attack,39.59.70.117
31:58.7,Server_476,40.67223793,7.46052168,261.2851243,396.6199407,469.9257639,,151.0162377,392,5,0.521550095,0,Increase Resources,medium,None,73.133.51.227
26:58.7,Server_700,15.52110824,56.3348994,583.99273,159.9556339,77.37990028,,183.7412191,1568,1,0.413949558,0,None,low,Security Breach,227.159.24.163
21:58.7,Server_976,38.48516695,79.57326454,570.6904702,218.0417808,392.2152731,,100.4009398,209,4,0.075826564,0,Restart Service,high,CPU Spike,49.162.116.182
16:58.7,Server_783,21.48600737,11.56458339,451.1970455,282.7150567,457.8384224,,20.36398638,944,1,0.281919281,0,Monitor,medium,DDoS Attack,8.119.23.96
11:58.7,Server_190,40.46397406,44.2514222,181.5180335,46.58893217,193.7197408,,197.0222782,119,3,0.305721562,0,Investigate Security Breach,medium,None,249.110.5.17
06:58.7,Server_958,44.66466658,36.01857094,932.3550665,106.8454015,227.100498,,75.46919962,2645,2,0.13897726,0,Investigate Security Breach,medium,DDoS Attack,22.8.190.125
01:58.7,Server_687,33.55615666,91.79823441,456.5391641,190.9345178,417.7065865,,51.69142644,3808,3,0.07093382,0,Investigate Security Breach,medium,DDoS Attack,101.1.242.56
56:58.7,Server_958,67.3790852,22.65122735,167.4601802,140.9168174,287.5422837,,81.85619952,9461,3,0.986039764,1,Monitor,medium,None,9.222.8.255
51:58.7,Server_563,92.29094487,35.24423925,85.2249922,238.256017,244.4682685,,97.31297748,7067,1,0.343327707,0,Increase Resources,medium,None,244.5.143.213
46:58.7,Server_876,43.05656054,90.35225077,194.9636335,328.8592547,144.2936211,,66.84490396,4748,4,0.103976256,0,Restart Service,low,None,196.76.187.142
41:58.7,Server_567,23.27259987,36.41206408,332.2699202,274.4460932,272.6970656,,93.08395453,8038,4,0.025663135,0,Increase Resources,low,Memory Leak,206.217.24.138
36:58.7,Server_244,30.71866203,55.47800686,648.5888467,389.3620308,194.1785413,,186.441194,3128,5,0.499214015,0,Investigate Security Breach,high,Security Breach,225.88.175.126
31:58.7,Server_832,86.13007823,8.138357037,972.3888868,316.9120229,240.8518714,,129.4306384,312,4,0.890647304,1,None,high,CPU Spike,130.101.181.67
26:58.7,Server_505,59.30577371,98.56573144,308.4642922,153.0368946,426.5572472,,71.2662866,6739,0,0.147140083,0,None,low,Security Breach,28.15.180.136
21:58.7,Server_131,48.22604807,83.36993725,800.3140582,68.78485266,424.33428,,11.396365,7479,1,0.94897753,1,Increase Resources,medium,None,168.1.167.239
16:58.7,Server_485,19.21548854,65.26808975,915.8170211,323.4485401,20.28788202,,126.1518656,4025,1,0.715931645,1,None,medium,None,231.95.198.160
11:58.7,Server_819,47.72409429,10.77175094,421.9939463,113.856728,277.4701427,,86.07834399,4813,2,0.389843266,0,Restart Service,low,Memory Leak,20.156.59.137
06:58.7,Server_647,31.45674032,12.11264633,290.6099142,166.1459937,475.858284,,98.68989966,5677,2,0.733186282,1,Restart Service,high,DDoS Attack,197.212.175.217
01:58.7,Server_21,94.60049715,56.77249493,516.5135546,399.6491198,228.5552788,,175.7447063,6464,3,0.76413904,1,None,low,None,237.116.28.253
56:58.7,Server_841,88.98666039,32.08112144,901.8764933,117.7578374,64.10015855,,95.04714796,6988,1,0.390557125,0,Restart Service,low,Memory Leak,137.101.27.222
51:58.7,Server_167,12.97074147,64.16499751,60.43277473,273.5393013,15.52749531,,36.51270063,7027,4,0.979490382,1,Restart Service,low,None,113.234.179.255
